Tag,Item,Function,Selected_part_or_target,Qty,Status,Inlet_connection,Outlet_connection,Internal_bore_or_orifice,Pressure_or_setpoint,Material_cleanliness,Notes
CRYO-101,Statebourne Cryostor 60,Self-pressurising LN2 source,Statebourne Cryostor 60,1,Proceed/service,TBD Statebourne liquid outlet,TBD Statebourne hose connection,TBD,MAWP/reliefs to be checked by Statebourne,TBD,"Statebourne recognises serial/model and can service; dewar internal relief protects dewar only"
V-101,Integral liquid outlet valve,Manual source isolation,Integral to Cryostor 60,1,Existing/TBD service,TBD,TBD,TBD,TBD,TBD,"Use as first manual isolation; Statebourne service/check to confirm condition"
H-101,LN2 transfer hose,Cryostor to external valve train,Statebourne 3701004 or 3701006,1,RFQ sent,1/2 in BSP one end expected,1/2 in BSP opposite end expected,TBD,TBD,Flexible stainless LN2 hose with strengthening sleeve,"1.2-1.5 m preferred; exact male/female end arrangement to be confirmed by Statebourne"
AD-101,Reducer/adaptor,Hose to 1/4 in valve train,TBD cryogenic-rated adapter,1,TBD,1/2 in BSP to match H-101 outlet,1/4 in BSPT male/female as required,TBD,TBD,Cryogenic-compatible,"Do not buy until Statebourne hose end and first tee/valve interface are confirmed"
T-101,Relief tee,Branch for main thermal relief,TBD cryogenic-rated tee,1,TBD,1/4 in BSPT,1/4 in BSPT run plus 1/4 in BSPT branch,TBD,Must suit LN2 service,Cryogenic-compatible,"Branch must accept RV-101 1/4 in BSPT male inlet"
RV-101,Thermal relief valve,Main blocked-line relief,HEROSE USS-06002.0200.0000,1,Selected/confirm order,1/4 in BSPT male ISO 7/1,3/8 in BSPT female ISO 7/1,6 mm orifice,1.5 barG set pressure,"Brass body, carbon-filled PTFE seal, oxygen cleaned/degreased, PED marked","Protects external section trapped between V-101 and SV-101"
AD-102,Relief outlet elbow/adaptor,Direct RV-101 discharge safely,TBD 3/8 in BSPT male elbow/adaptor,1,TBD,3/8 in BSPT male to suit RV-101 outlet,TBD safe discharge tube/deflector,TBD,TBD,Cryogenic/cold nitrogen compatible,"Orient away from people, electronics, freezer and camera hardware"
T-102,Gauge tee,Branch for local pressure gauge,TBD cryogenic-rated tee,1,TBD,1/4 in BSPT,1/4 in BSPT run plus gauge branch,TBD,TBD,Cryogenic-compatible,"Gauge branch preferably vertical/standoff so gauge mostly sees gas pressure"
PI-101,Local pressure gauge,Manifold pressure indication,TBD 0-4 barG or 0-6 barG gauge,1,RFQ sent,Request 1/4 in BSP/BSPT male or compatible,N/A,Small gauge restriction acceptable,0-4 barG preferred / 0-6 barG acceptable,Nitrogen/cryogenic manifold service,"May use snubber/standoff if supplier recommends"
AD-103,Gauge adaptor,Connect PI-101 to T-102,TBD,1,TBD,TBD to match T-102 gauge branch,TBD to match PI-101,TBD,TBD,Cryogenic-compatible,"Only needed if gauge thread differs from tee branch"
SV-101,Normally closed solenoid valve,Automatic LN2 shutoff,Gems Sensors D2064-LN2-LU-C204,1 installed plus spares,Ordered,1/4-19 BSPT female,1/4-19 BSPT female,1/8 in orifice,375 psi MOPD,"Cryogenic LN2 valve, 24 VDC 15 W","Use relay/MOSFET/SSR driver with fuse/flyback; do not drive directly from NI output"
AD-104,Solenoid inlet nipple/adaptor,Connect T-102 to SV-101,TBD 1/4 in BSPT nipple/adaptor,1,TBD,1/4 in BSPT to suit T-102 outlet,1/4 in BSPT male to enter SV-101 female,TBD,TBD,Cryogenic-compatible,"May be a short nipple if tee outlet and solenoid are both 1/4 in BSPT-compatible"
AD-105,Solenoid outlet nipple/adaptor,Connect SV-101 to downstream tee/valve,TBD 1/4 in BSPT nipple/adaptor,1,TBD,1/4 in BSPT male to enter SV-101 female,1/4 in BSPT to suit T-103 or MV-101,TBD,TBD,Cryogenic-compatible,"Depends whether RV-102/T-103 is installed"
T-103,Optional downstream relief tee,Branch for RV-102 if downstream can trap LN2,TBD cryogenic-rated tee,0-1,TBD,1/4 in BSPT,1/4 in BSPT run plus 1/4 in BSPT branch,TBD,Must suit LN2 service,Cryogenic-compatible,"Install if MV-101 can fully close and trap liquid between SV-101 and MV-101/coil inlet"
RV-102,Optional downstream thermal relief,Downstream blocked-line relief / spare,HEROSE USS-06002.0200.0000,1,Selected/confirm order,1/4 in BSPT male ISO 7/1,3/8 in BSPT female ISO 7/1,6 mm orifice,1.5 barG set pressure,"Brass body, carbon-filled PTFE seal, oxygen cleaned/degreased, PED marked","Fit downstream or keep as spare depending final metering valve/restrictor arrangement"
AD-106,Relief outlet elbow/adaptor,Direct RV-102 discharge safely,TBD 3/8 in BSPT male elbow/adaptor,0-1,TBD,3/8 in BSPT male to suit RV-102 outlet,TBD safe discharge tube/deflector,TBD,TBD,Cryogenic/cold nitrogen compatible,"Only needed if RV-102 is installed"
MV-101,Cryogenic needle/metering valve,Manual LN2 flow trim,TBD HEROSE or equivalent,1,RFQ sent,Request 1/4 in BSPT/BSP or tube compression,Request 1/4 in BSPT/BSP or tube compression,TBD,Cryogenic LN2 service,"Cryogenic-compatible, oxygen-clean preferred","If fully closing, ensure RV-102 or no-trap operating procedure"
AD-107,Outlet tube adaptor,Transition to coil feed tube,TBD cryogenic compression fitting,1,TBD,To suit MV-101 outlet,1/4 in OD tube compression,TBD,TBD,Cryogenic-compatible,"Tube side to match 1/4 in OD copper or 316/316L stainless coil tube"
BULK-101,Chamber bulkhead fitting,Pass LN2 tube through chamber wall,TBD cryogenic-compatible bulkhead fitting,1-2,TBD,1/4 in OD tube compression or equivalent,1/4 in OD tube compression or equivalent,TBD,TBD,Cryogenic-compatible,"Final count depends whether coil inlet/outlet both bulkhead through same wall/plate"
HX-101,Internal cooling coil,Heat exchanger coil,1/4 in OD soft copper or 316/316L stainless tube,6-8 m installed / 10 m purchase,To source,1/4 in OD tube,1/4 in OD tube,TBD,TBD,"Copper or 316/316L stainless, 0.7-0.9 mm wall target","Continuous tube, no internal joints if possible"
VENT-101,Coil outlet vent,Always-open external vent,TBD tube/vent line to safe discharge,1,TBD,1/4 in tube from HX-101,TBD safe vent outlet,TBD,Open to atmosphere/safe vent,Cryogenic/cold nitrogen compatible,"Must not be valved closed during operation; route outside chamber/freezer atmosphere"
SUP-101,Valve train support bracket,Mechanical support,TBD bracket/panel/clamps,1,TBD,N/A,N/A,N/A,N/A,Metal bracket/clamps,"Do not hang valve train from hose or solenoid body"
