Hazard_or_Condition,Input_or_Detection,Required_Action,Output_Response,Reset_Requirement,Implemented_In,Notes
Emergency stop active,DI_ESTOP_OK false,Immediate safe state,LN2 solenoid off; fan enable off if required; heater off if fitted,Manual reset after E-stop restored,Hardwired safety plus RT_Safety_Manager,Software must not be sole E-stop mechanism
Door open during automatic run,DI_DOOR_CLOSED false while in Run_Profile or Hold,Leave automatic run and enter Fault,LN2 solenoid off; inhibit automatic run; fan/heater according to safe policy,Operator acknowledgement after door closed,RT_Safety_Manager and RT_Main state machine,Output gating alone is not sufficient; state must leave Run_Profile/Hold
Chamber overpressure non-critical,AI_CHAMBER_PRESSURE above warning/soft limit but below emergency threshold,Inhibit LN2 and enter Fault,LN2 solenoid off; controlled recovery or operator action required,Manual reset after pressure normal,RT_Safety_Manager,Independent mechanical relief still required
Chamber overpressure critical,DI_OVERPRESSURE_OK false or AI_CHAMBER_PRESSURE above emergency threshold,Immediate safe state,LN2 solenoid off; fan/heater according to hardwired safe policy; enter Emergency_Stop,Manual reset after pressure normal and safety chain restored,Hardwired switch plus RT_Safety_Manager,Use this row for hard overpressure trips and emergency pressure limit
Oxygen low non-critical,AI_OXYGEN_LEVEL below warning threshold,Immediate LN2 inhibit,LN2 solenoid off; alarm; enter Fault or controlled recovery,Manual reset after oxygen normal,RT_Safety_Manager,Thresholds to be set from site safety requirement
Oxygen low critical,AI_OXYGEN_LEVEL below emergency threshold or hard O2 alarm trip,Immediate safe state,LN2 solenoid off; alarm; enter Emergency_Stop,Manual reset after oxygen normal and operator acknowledgement,RT_Safety_Manager / hardwired alarm if fitted,Consider local room alarm independent of cRIO
Fan not proven,DI_FAN_HEALTHY false or airflow below threshold,Inhibit LN2 cooling,LN2 solenoid off; fan command according to fault policy,Auto or manual depending severity,RT_Safety_Manager,LN2 should not inject without airflow proof
Temperature sensor invalid,Open thermocouple or implausible temperature,Inhibit automatic control,LN2 solenoid off if sensor is safety-critical,Manual acknowledgement after valid reading,RT_IO_Manager and RT_Safety_Manager,Use redundant chamber sensors for plausibility checks
Manual key not enabled,DI_MANUAL_KEY false,Disable manual output controls,Manual outputs forced safe,N/A,RT_Safety_Manager and HMI,Engineering mode only for commissioning
Host PC disconnected,Comms watchdog timeout,Continue or controlled safe state per mode,Do not rely on HMI for safety; reject stale commands,Automatic on reconnect or manual acknowledgement,RT_Comms_To_Host and RT_Fault_Manager,cRIO remains authority
cRIO application watchdog fault,Watchdog stops toggling or RT loop fails,Hardware safe state,Remove dangerous output enables; enter Emergency_Stop if detected by RT app,Manual intervention,Hardware watchdog / safety relay,Consider for final wiring
Power loss,Supply removed,Fail safe,LN2 valve normally closed; outputs de-energised,Power-on self-check,Hardware design,Validate actual valve and relay fail positions
